what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314602489446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602489576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1314602489621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602497076
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602502509
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602502663
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602502751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314602520890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602521220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1314602521272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602528106
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602533637
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602537297
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602538096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314602545058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602545417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1314602545461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602548752
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602550729
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602550730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314602562814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602563428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602680529
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602684499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602718109
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1314602720820
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602720932
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602721000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314602738509
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602740120
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314602740120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602740795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602794715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602796032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602827103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602828808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602847224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314602848061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314603143210
opened,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1314603175797
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1314603175853
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.search.findrefs",1314603176325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.previous",1314603180571
