what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598609771
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598613968
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314598627940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314598639319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598652140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598653901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598660417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314598686778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314598693779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598700733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314598700962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598706064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598708746
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1314598708865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314598708865
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314598708928
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1314598709134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598713540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314598716522
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1314598716597
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314598716597
